"Muito_baixo","baixo","moderado","alto","muito_alto","regiao","cod_regiao","escala","escala_reg"
"0.304414929725813","0.469599341603233","0.78699121834356","1.42177497182421","2.02343359575708","Palmas - TO",172100,"incidencia","capital"
"0.0940808116539783","0.70488780228387","1.23786528201426","2.02273745056053","3.11536202416377","São Luís - MA",211130,"incidencia","capital"
"0.221571294995591","1.07151459386223","1.8651456246478","2.73690179199683","4.18328675187004","Teresina - PI",221100,"incidencia","capital"
"0.193912467136685","1.22259912691058","2.14925498430802","3.24929901606572","4.71444076438996","Fortaleza - CE",230440,"incidencia","capital"
"0.255021045611789","1.23560602238312","1.88668468910509","2.63254353009525","3.99307866364967","Natal - RN",240810,"incidencia","capital"
"0.225053140672841","0.851976296054831","1.64825054015747","2.5781478585784","3.71732947050839","João Pessoa - PB",250750,"incidencia","capital"
"0.125914770809934","2.17202979647136","3.64873097338423","5.44018483195874","7.79088198157053","Recife - PE",261160,"incidencia","capital"
"0.100507361159131","0.7676032319908","1.4853665782276","2.13145543958461","3.07960196927497","Maceió - AL",270430,"incidencia","capital"
"0.32477919074769","2.27447516269966","3.88944431585699","5.77398810536982","8.91492420044089","Aracaju - SE",280030,"incidencia","capital"
"0.721933916575723","1.61961039885597","2.54682242791991","3.50837085030681","4.68070911107581","Salvador - BA",292740,"incidencia","capital"
"2.69001990200878","4.30444383857482","5.91722421954052","8.5533595101598","12.0831440742003","Belo Horizonte - MG",310620,"incidencia","capital"
"0.29171528588098","1.64798059170375","2.54940167217725","3.55298945244955","5.02461521934733","Vitória - ES",320530,"incidencia","capital"
"0.267463350834352","0.973269415536114","1.53000703107777","2.21386853646407","3.01601802717061","Rio De Janeiro - RJ",330455,"incidencia","capital"
"0.781803120453668","1.74785322179404","2.47085704145597","3.23153520405144","4.84194942734452","São Paulo - SP",355030,"incidencia","capital"
"0.491589719220339","2.09296348501746","3.41340319251098","5.26897648599063","7.6393203429181","Curitiba - PR",410690,"incidencia","capital"
"0.51065046656431","2.11862752751799","3.26533233443102","4.56858799582741","6.67984128003109","Florianópolis - SC",420540,"incidencia","capital"
"0.440827212263813","1.54355994276021","2.50909652382908","3.48909763496812","5.00063612296336","Porto Alegre - RS",431490,"incidencia","capital"
"1.15239115927408","3.84144304643136","6.01005485713967","8.86715649893135","12.1025455706299","Campo Grande - MS",500270,"incidencia","capital"
"0.146427462763496","0.668614665841747","1.39106089625321","2.08721546775415","3.39656729900632","Cuiabá - MT",510340,"incidencia","capital"
"0.341068191468861","0.976412485517171","1.65342409173251","2.55252432739803","3.56713024760998","Goiânia - GO",520870,"incidencia","capital"
"0.0333678245413009","0.0511148030294784","0.0855456937883063","0.103528951696163","0.124228849417242","Brasília - DF",530010,"incidencia","capital"
"1","5","9","13","21","Porto Velho - RO",110020,"casos","capital"
"2","9","14","19","26","Rio Branco - AC",120040,"casos","capital"
"5","21","32","47","69","Manaus - AM",130260,"casos","capital"
"1","5","10","18","33","Boa Vista - RR",140010,"casos","capital"
"2","11","18","26","36","Belém - PA",150140,"casos","capital"
"1","12","26","43","69","Macapá - AP",160030,"casos","capital"
"1","2","3","5","7","Palmas - TO",172100,"casos","capital"
"1","8","13","22","34","São Luís - MA",211130,"casos","capital"
"2","10","17","25","38","Teresina - PI",221100,"casos","capital"
"5","32","55","84","122","Fortaleza - CE",230440,"casos","capital"
"2","10","15","21","31","Natal - RN",240810,"casos","capital"
